"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_1058";"v_872";"v_877";"v_878";"v_879";"v_85";"v_451";"v_870";"v_873";"v_874";"v_1135";"v_876";"v_1046";"v_1035";"v_1056";"v_1057";"v_1053";"v_1060";"v_1061";"v_1062";"v_1063";"v_1064";"v_1065";"v_1066";"v_1067";"v_1068";"v_1069";"v_1070";"v_1071";"v_1072";"v_1073";"v_1074";"v_1075";"v_1076";"v_1077";"v_1078";"v_1079";"v_1080";"v_1081";"v_1082";"v_1085";"v_1086";"v_1087";"v_1088";"v_1089";"v_1090";"v_1091";"v_1092";"v_1093";"v_1094";"v_1095";"v_1096";"v_1097";"v_1098";"v_1099";"v_1100";"v_1101";"v_1102";"v_1103";"v_1104";"v_1105";"v_1106";"v_1107";"v_1108";"v_1109";"v_1110";"v_1111";"v_1112";"v_1113";"v_1114";"v_1115";"v_1116";"v_1117";"v_1118";"v_1119";"v_1120";"v_1121";"v_1122";"v_1123";"v_1124";"v_1125";"v_1126";"v_1127";"v_1128";"v_1129";"v_1130";"v_1131";"v_1132";"v_1133";"v_1134";"browser";"referer";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts4384348";"rts4384349";"rts4384394";"rts4384468";"rts4384469";"rts4384897";"rts4385026";"rts4385055";"rts4385159";"rts4385550";"rts4385552"
"85";"0";"0";"31";"4384395";"-77";"4768";"43";"2";"23";"4";"1994";"5";"Psychologie";"1";"1";"2";"1";"2";"1";"-77";"-77";"-66";"Klavier";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"e962d44581d85b8be1578a6c8d6fedaf";"1";"0";"1444628975";"2015-10-12 05:49:35";"2015-10-12 07:09:03";"0000-00-00 00:00:00";"4328";"4392";"4768";"4499";"4616";"4427";"0";"4398";"4558";"4688";"4759"
"86";"0";"0";"31";"4384395";"-77";"4704";"42";"2";"28";"10";"1993";"5";"Psychologie";"1";"1";"1";"2";"2";"1";"-77";"-77";"-66";"Akkordeon";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"1df42314750042cb129ce0e73c690cca";"1";"0";"1444628986";"2015-10-12 05:49:46";"2015-10-12 07:08:10";"0000-00-00 00:00:00";"4304";"4374";"4704";"4470";"4588";"4406";"0";"4389";"4534";"4639";"4699"
"87";"0";"0";"31";"4384395";"-77";"427";"45";"2";"1";"12";"1995";"5";"Psychologie";"1";"1";"1";"2";"2";"2";"-77";"-77";"-66";"-66";"2";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"5413ed8e8c96661fed570c547f4a8225";"1";"0";"1444821976";"2015-10-14 11:26:16";"2015-10-14 11:33:23";"0000-00-00 00:00:00";"18";"86";"427";"158";"273";"96";"0";"0";"222";"324";"391"
"88";"0";"0";"22";"4384394";"-77";"346";"44";"2";"30";"11";"1994";"4";"Psychologie";"1";"2";"2";"0";"1";"1";"1";"2";"Memory";"Gitarre";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394";"0";"1";"0";"-77";"-77";"0ca23e4973f8c00f045938c98d129420";"1";"0";"1444821981";"2015-10-14 11:26:21";"2015-10-14 11:33:21";"0000-00-00 00:00:00";"16";"71";"0";"179";"291";"112";"99";"105";"247";"346";"420"
"97";"0";"0";"31";"4384395";"-77";"4976";"46";"2";"2";"9";"1994";"4";"Psychologie";"1";"1";"1";"1";"2";"1";"-77";"-77";"-66";"Klavier";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"6cc3c3a69a9fbf61ab9c79bb770d695a";"1";"0";"1445234250";"2015-10-19 05:57:30";"2015-10-19 07:20:26";"0000-00-00 00:00:00";"4570";"4632";"4976";"4720";"4833";"4660";"0";"4640";"4781";"4892";"4967"
"100";"0";"0";"31";"4384395";"-77";"4863";"50";"1";"21";"9";"1996";"2";"Fachmann Gesundheit";"1";"1";"2";"2";"1";"1";"1";"2";"Sudoku";"Gitarre, Posaune, Singen, Xylophone";"2";"1";"1";"1";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"2";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"d7d68ad9f633de8199d4d5dd7f0810ae";"1";"0";"1445327318";"2015-10-20 07:48:38";"2015-10-20 09:09:41";"0000-00-00 00:00:00";"4344";"4404";"4863";"4537";"4649";"4461";"4423";"4444";"4598";"4705";"4772"
"101";"0";"0";"31";"4384395";"-77";"4773";"52";"2";"25";"3";"1995";"4";"Psychologie";"1";"1";"2";"2";"2";"2";"-77";"-77";"-66";"-66";"1";"1";"2";"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"1";"0";"-77";"-77";"83d8929ce9b452494f1c1ffad1cf28b7";"1";"0";"1445327343";"2015-10-20 07:49:03";"2015-10-20 09:08:36";"0000-00-00 00:00:00";"4313";"4364";"4773";"4452";"4593";"4367";"0";"0";"4534";"4661";"4741"
"102";"0";"0";"31";"4384395";"-77";"4846";"49";"2";"20";"1";"1993";"4";"Psychologie";"1";"1";"1";"3";"2";"2";"-77";"-77";"-66";"-66";"1";"2";"2";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4384468,4384468,4384468,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"f90f1017d8e5fbd34283495139796934";"1";"0";"1445327347";"2015-10-20 07:49:07";"2015-10-20 09:09:53";"0000-00-00 00:00:00";"4323";"4413";"4846";"4533";"4668";"4438";"0";"0";"4595";"4730";"4835"
"103";"0";"0";"31";"4384395";"-77";"4766";"51";"2";"4";"10";"1993";"4";"Psychologie";"1";"1";"1";"1";"2";"1";"-77";"-77";"-66";"Querflöte";"1";"2";"2";"1";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"1";"1";"1";"2";"1";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"6fa56a94c8bbbc95beefc0c14cd96568";"1";"0";"1445327356";"2015-10-20 07:49:16";"2015-10-20 09:08:42";"0000-00-00 00:00:00";"4310";"4384";"4766";"4466";"4592";"4399";"0";"4391";"4528";"4672";"4758"
"104";"0";"0";"31";"4384395";"-77";"545";"48";"2";"26";"7";"1994";"4";"Psychologie";"1";"2";"2";"0";"1";"2";"2";"2";"Quizzduell";"-66";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"2";"2";"1";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"2";"1";"2";"2";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385025,4385026,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"1";"0";"-77";"-77";"0eba8724e58af2f1cd401bf9460224f4";"1";"0";"1445331610";"2015-10-20 09:00:10";"2015-10-20 09:09:15";"0000-00-00 00:00:00";"50";"144";"545";"250";"369";"190";"168";"0";"310";"436";"515"
"105";"0";"0";"31";"4384395";"-77";"439";"47";"2";"9";"9";"1993";"4";"Psychologie";"1";"2";"1";"0";"1";"1";"1";"2";"Candy Crush";"Klavier";"2";"1";"2";"1";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"2";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"f101a13b6211cdb551a346b857764548";"1";"0";"1445331671";"2015-10-20 09:01:11";"2015-10-20 09:08:30";"0000-00-00 00:00:00";"8";"73";"439";"165";"275";"114";"100";"105";"228";"328";"402"
"107";"0";"0";"31";"4384395";"-77";"665";"41";"1";"13";"2";"1987";"6";"Lehrperson Sekundarstufe 1";"1";"2";"2";"1";"2";"2";"-77";"-77";"-66";"-66";"1";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"1";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"1";"2";"1";"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:37.0) Gecko/20100101 Firefox/37.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"30d11e1ecf0d92814a52f1023077de0e";"1";"0";"1445442019";"2015-10-21 15:40:19";"2015-10-21 15:51:24";"0000-00-00 00:00:00";"50";"136";"665";"267";"402";"174";"0";"0";"339";"465";"610"
"108";"0";"0";"31";"4384395";"-77";"7426";"55";"2";"16";"11";"1994";"5";"Psychologie";"1";"1";"2";"1";"2";"1";"-77";"-77";"-66";"Querflöte";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"2";"1";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"2";"2";"1";"2";"2";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"7bcb345eabb450bd5563067f15f1d264";"1";"0";"1445593032";"2015-10-23 09:37:12";"2015-10-23 11:40:58";"0000-00-00 00:00:00";"6961";"7016";"7426";"7106";"7217";"7040";"0";"7024";"7169";"7272";"7336"
"109";"0";"0";"31";"4384395";"-77";"7743";"54";"2";"11";"2";"1992";"4";"Psychologie";"1";"3";"1";"0.5";"2";"1";"-77";"-77";"-66";"Flute";"1";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"1";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"c7f02ac18bb11399a043aedea6eb0200";"1";"0";"1445593039";"2015-10-23 09:37:19";"2015-10-23 11:46:22";"0000-00-00 00:00:00";"6966";"7055";"7743";"7174";"7454";"7070";"0";"7068";"7305";"7573";"7730"
"110";"0";"0";"31";"4384395";"-77";"7340";"56";"2";"9";"12";"1995";"5";"Psychologie";"1";"1";"2";"1";"2";"1";"-77";"-77";"-66";"Querflöte";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"2";"1";"2";"2";"1";"2";"2";"1";"2";"1";"2";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"2";"2";"1";"2";"1";"2";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"1";"0";"-77";"-77";"78f68235fd253618d41fbbab4b1931aa";"1";"0";"1445593052";"2015-10-23 09:37:32";"2015-10-23 11:39:52";"0000-00-00 00:00:00";"6952";"7001";"7340";"7085";"7192";"7027";"0";"7010";"7145";"7240";"7299"
"114";"0";"0";"22";"4384394";"-77";"5006";"53";"2";"18";"5";"1995";"5";"Psychlologie";"1";"2";"1";"0";"2";"1";"-77";"-77";"-66";"Cello";"1";"2";"2";"1";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394";"1";"0";"0";"-77";"-77";"2107068947819ea96c59b63e2a2ad709";"1";"0";"1445848959";"2015-10-26 08:42:39";"2015-10-26 10:07:25";"0000-00-00 00:00:00";"4674";"4742";"0";"4842";"4951";"4782";"0";"4758";"4899";"5005";"5086"
"115";"0";"0";"22";"4384394";"-77";"369";"57";"2";"28";"5";"1992";"5";"Psychologie";"1";"1";"2";"2";"2";"2";"-77";"-77";"-66";"-66";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"1";"1";"2";"2";"1";"2";"1";"2";"1";"2";"1";"2";"2";"1";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"1";"1";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4384469,4384469,4385550,4385552,4385552,4385552,4384394";"1";"0";"0";"-77";"-77";"f9189ab30465d5bf420c3fbdbf5b5d9b";"1";"0";"1445853624";"2015-10-26 10:00:24";"2015-10-26 10:06:40";"0000-00-00 00:00:00";"10";"60";"0";"119";"251";"67";"0";"0";"192";"312";"376"
"116";"0";"0";"31";"4384395";"-77";"557";"59";"1";"30";"12";"1993";"4";"Psychologie";"1";"1";"2";"1";"1";"1";"2";"1";"Fifa";"Klavier";"2";"2";"1";"2";"2";"2";"1";"2";"1";"2";"2";"1";"1";"2";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"2";"2";"1";"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"2";"2";"1";"2";"1";"2";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"811bcae60b87df476c7ad4cb0b194211";"1";"0";"1445932765";"2015-10-27 07:59:25";"2015-10-27 08:08:42";"0000-00-00 00:00:00";"10";"84";"557";"235";"401";"135";"108";"115";"312";"456";"524"
"117";"0";"0";"31";"4384395";"-77";"381";"60";"2";"18";"4";"1994";"5";"Psychologie";"1";"2";"2";"1";"1";"1";"1";"2";"Flowerz";"Klarinette";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"1";"2";"2";"2";"1";"1";"1";"1";"2";"1";"2";"2";"2";"1";"1";"1";"1";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"1";"0";"-77";"-77";"fa46f754d2b586d00ae7438489a6dd71";"1";"0";"1445932766";"2015-10-27 07:59:26";"2015-10-27 08:05:47";"0000-00-00 00:00:00";"11";"53";"381";"154";"257";"107";"87";"95";"204";"303";"368"
"118";"0";"0";"31";"4384395";"-77";"427";"58";"2";"25";"5";"1994";"4";"Psychologie";"1";"1";"2";"0";"1";"1";"1";"1";"Witcher III";"Violine";"1";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"1";"1";"1";"2";"2";"2";"1";"1";"1";"2";"1";"2";"2";"1";"2";"2";"1";"1";"2";"1";"2";"2";"2";"1";"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4385055,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"0";"0";"-77";"-77";"e654a1b2e9f1a68509df7b239a417a57";"1";"0";"1445932768";"2015-10-27 07:59:28";"2015-10-27 08:06:35";"0000-00-00 00:00:00";"10";"68";"426";"197";"295";"134";"112";"120";"249";"343";"414"
"119";"0";"0";"31";"4384395";"-77";"5759";"62";"2";"5";"12";"1995";"2";"Handelsschule";"1";"1";"2";"4";"2";"2";"-77";"-77";"-66";"-66";"1";"2";"1";"1";"1";"2";"1";"2";"2";"2";"1";"2";"2";"2";"1";"2";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1";"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"1";"0";"0";"-77";"-77";"36cee704b62ec51c60826bebd5b81438";"1";"0";"1445966434";"2015-10-27 17:20:34";"2015-10-27 18:56:34";"0000-00-00 00:00:00";"5384";"5439";"5760";"5510";"5636";"5443";"0";"0";"5574";"5687";"5758"
"120";"0";"0";"31";"4384395";"-77";"6161";"63";"1";"10";"9";"1995";"1";"Selbständig Einzelfirma";"1";"2";"1";"0";"1";"2";"1";"2";"Sims 4";"-66";"2";"1";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"2";"1";"2";"1";"2";"1";"1";"1";"2";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";"2";"2";"1";"1";"2";"1";"2";"1";"1";"2";"1";"1";"1";"Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-99";"4384348,4384349,4385025,4385026,4385054,4384897,4384468,4385159,4384469,4385550,4385552,4384394,4384395";"0";"1";"0";"-77";"-77";"d254a6f91ee0dbdb5b875a01d00ffc01";"1";"0";"1445966444";"2015-10-27 17:20:44";"2015-10-27 19:03:25";"0000-00-00 00:00:00";"5372";"5461";"6161";"5592";"5860";"5491";"5489";"0";"5735";"5996";"6155"
